FID,ogc_fid,simbolos,comp1,comp2,comp3,leg_desc,area_km2,ordem1,subordem1,gdegrupo1,ordem2,subordem2,gdegrupo2,ordem3,subordem3,gdegrupo3,leg_sinot,classe_dom,geometry
brasil_solos_5m_20201104.1,1,AGUA,AGUA,,,AGUA,682.11708977,,,,,,,,,,AGUA,AGUA,"MULTIPOLYGON (((-52.56584167480469 -32.7660789489746, -52.55811691284179 -32.777954101562486, -52.562580108642564 -32.80141830444337, -52.58361434936524 -32.85489654541017, -52.622478485107415 -32.901386260986314, -52.64805984497072 -32.978321075439474, -52.67873001098632 -33.011474609374964, -52.73493194580078 -33.11313629150389, -52.83756256103514 -33.22579193115235, -52.96642684936522 -33.33456039428712, -53.0216522216797 -33.37729644775391, -53.09386444091798 -33.45331573486327, -53.147354125976555 -33.50107192993165, -53.163505554199226 -33.504131317138665, -53.165195465087876 -33.492332458496065, -53.06880569458009 -33.33947372436523, -52.96962356567384 -33.22188949584959, -52.92897415161131 -33.19737625122072, -52.89778518676756 -33.149162292480455, -52.86938476562497 -33.132827758789055, -52.85314941406247 -33.123012542724595, -52.80526351928711 -33.041435241699226, -52.77276992797852 -33.0184211730957, -52.75000762939454 -32.983486175537124, -52.71950912475588 -32.95875167846679, -52.71255493164061 -32.91515731811524, -52.647647857665994 -32.86572265625001, -52.65486526489259 -32.83031845092774, -52.64262008666989 -32.817058563232415, -52.614517211914055 -32.807388305664055, -52.63201904296873 -32.78696060180662, -52.62959671020509 -32.766830444335916, -52.621490478515604 -32.760227203369126, -52.56584167480469 -32.7660789489746)))"
brasil_solos_5m_20201104.2,2,AGUA,AGUA,,,AGUA,2397.82753736,,,,,,,,,,AGUA,AGUA,"MULTIPOLYGON (((-52.59645843505858 -32.51521301269531, -52.65285110473632 -32.643791198730455, -52.79754638671876 -32.88020324707029, -52.85979080200193 -32.897674560546854, -52.92863845825194 -32.857852935790994, -52.998607635498026 -32.786033630371065, -53.001781463623026 -32.754039764404304, -52.993137359619155 -32.727294921874986, -53.00296020507812 -32.72208023071289, -53.027275085449205 -32.73845291137696, -53.08880233764647 -32.806251525878906, -53.134483337402344 -32.800357818603494, -53.17732238769531 -32.836524963378906, -53.21655654907227 -33.029090881347656, -53.22505950927733 -33.0474166870117, -53.24531936645509 -33.0571060180664, -53.26586532592773 -33.076873779296854, -53.29797744750977 -33.08127975463867, -53.33296585083006 -33.04695129394531, -53.34300231933595 -33.04842758178712, -53.37210845947268 -33.086494445800774, -53.41722869873046 -33.124221801757784, -53.43223571777345 -33.15753173828124, -53.454181671142585 -33.15538406372069, -53.46448898315429 -33.16525268554688, -53.467262268066406 -33.19041061401365, -53.49025344848633 -33.22185897827149, -53.49503707885742 -33.2469711303711, -53.456127166748026 -33.35035324096679, -53.45082473754883 -33.43956375122069, -53.458126068115234 -33.481433868408196, -53.50215911865234 -33.54101181030274, -53.514209747314446 -33.54075241088867, -53.52941131591797 -33.52824783325197, -53.51321411132813 -33.3817558288574, -53.503086090087876 -33.37861251831056, -53.511543273925774 -33.32800292968748, -53.50331115722658 -33.19202423095704, -53.49164962768556 -33.138484954833984, -53.46406936645508 -33.08696746826173, -53.431083679199226 -33.05404663085937, -53.34970855712889 -33.00530624389649, -53.2476234436035 -32.926666259765625, -53.241451263427734 -32.9200630187988, -53.25014877319338 -32.874507904052734, -53.19123077392579 -32.83531188964844, -53.17043685913085 -32.80377578735349, -53.07748794555663 -32.75508499145507, -53.070987701416 -32.73503494262693, -53.07660675048827 -32.721485137939446, -53.139347076416 -32.68502426147459, -53.23918151855468 -32.625183105468714, -53.229148864746094 -32.622020721435526, -53.195125579834 -32.61427688598631, -53.09776687622068 -32.617809295654276, -53.05748748779297 -32.59838104248047, -53.03165054321287 -32.598850250244126, -53.015277862548835 -32.58065414428712, -53.00376510620118 -32.51866149902341, -52.989398956298835 -32.50042724609375, -52.94712448120117 -32.477638244628885, -52.81553649902341 -32.45465850830077, -52.74296188354491 -32.40540313720704, -52.736373901367166 -32.376934051513686, -52.74789047241209 -32.35993957519531, -52.81120681762694 -32.353870391845696, -52.81415176391604 -32.31011962890622, -52.79504013061524 -32.25496292114256, -52.7667465209961 -32.23020935058591, -52.733016967773416 -32.22738647460938, -52.72095489501952 -32.21917343139647, -52.72860717773438 -32.20728683471679, -52.77005004882813 -32.20157623291013, -52.73211288452148 -32.18705749511717, -52.71789169311524 -32.17047500610352, -52.68326568603515 -32.17005920410155, -52.652427673339815 -32.163085937499986, -52.648834228515625 -32.17995071411133, -52.663486480712905 -32.20083618164063, -52.69446563720704 -32.275058746337876, -52.69377517700195 -32.3338966369629, -52.651477813720724 -32.39505767822265, -52.623119354248026 -32.46103286743163, -52.59979629516601 -32.48490905761718, -52.59645843505858 -32.51521301269531)))"
brasil_solos_5m_20201104.3,3,DN,Dunas,,,DN - Dunas,993.42247548,DUNAS,,,,,,,,,DN - Dunas,DN,"MULTIPOLYGON (((-52.183261871337905 -32.14921951293945, -52.25585174560546 -32.2290229797363, -52.336948394775405 -32.33389282226564, -52.38188934326173 -32.405578613281236, -52.44419479370115 -32.550964355468736, -52.48884963989258 -32.69993209838866, -52.55614852905275 -32.87713623046875, -52.623104095458984 -33.0257453918457, -52.66053009033203 -33.09409713745115, -52.76927947998048 -33.216800689697244, -52.8984909057617 -33.34411621093749, -52.980388641357415 -33.41163253784179, -53.18397521972655 -33.591152191162124, -53.25378036499025 -33.64191818237304, -53.30352783203126 -33.669147491455064, -53.30927658081052 -33.63481521606447, -53.30125427246096 -33.6162986755371, -53.2877502441406 -33.60004806518554, -53.2606964111328 -33.57446289062501, -53.21459579467772 -33.54410552978514, -53.163505554199226 -33.504131317138665, -53.147354125976555 -33.50107192993165, -53.09386444091798 -33.45331573486327, -53.0216522216797 -33.37729644775391, -52.96642684936522 -33.33456039428712, -52.83756256103514 -33.22579193115235, -52.73493194580078 -33.11313629150389, -52.67873001098632 -33.011474609374964, -52.64805984497072 -32.978321075439474, -52.622478485107415 -32.901386260986314, -52.58361434936524 -32.85489654541017, -52.562580108642564 -32.80141830444337, -52.55811691284179 -32.777954101562486, -52.56584167480469 -32.7660789489746, -52.55255126953124 -32.711029052734375, -52.54520797729493 -32.66709518432616, -52.49648666381835 -32.52108001708983, -52.48101425170899 -32.481647491455064, -52.45211791992186 -32.43971252441405, -52.42359161376954 -32.379318237304695, -52.38959121704101 -32.3257598876953, -52.33442306518557 -32.25572586059568, -52.30306625366211 -32.20911026000976, -52.25844955444335 -32.15535354614256, -52.20534515380861 -32.124519348144524, -52.160446166992166 -32.10888671874999, -52.183261871337905 -32.14921951293945)))"
brasil_solos_5m_20201104.4,4,DN,Dunas,,,DN - Dunas,37.61923816,DUNAS,,,,,,,,,DN - Dunas,DN,"MULTIPOLYGON (((-52.1424980163574 -31.951387405395494, -52.13298034667966 -31.973342895507827, -52.13722229003906 -31.99177932739257, -52.16884231567382 -31.99309921264647, -52.192707061767585 -32.00290298461915, -52.22421646118164 -31.997489929199205, -52.2299118041992 -31.983976364135742, -52.21978378295898 -31.968973159790036, -52.193870544433594 -31.954154968261697, -52.18005371093749 -31.954317092895508, -52.1424980163574 -31.951387405395494)))"
brasil_solos_5m_20201104.5,5,SXe7,Planossolos Haplicos Eutroficos,Gleissolos Salicos Orticos,,SXe7 - Planossolos Haplicos Eutroficos + Planossolos Haplicos Eutroficos + Gleissolos Salicos Orticos,6121.56795615,PLANOSSOLOS,HAPLICOS,Eutroficos,GLEISSOLOS,SALICOS,Orticos,,,,SXe - Planossolos Haplicos Eutroficos,SXe,"MULTIPOLYGON (((-52.230102539062514 -31.763816833496087, -52.22662353515623 -31.790748596191392, -52.23904800415039 -31.825889587402326, -52.23350906372072 -31.84780502319334, -52.21475219726562 -31.856317520141598, -52.16500473022462 -31.878868103027347, -52.14541625976561 -31.887495040893537, -52.13771820068361 -31.89934730529783, -52.14593124389647 -31.919418334960945, -52.199287414550795 -31.923841476440426, -52.23314285278318 -31.94192314147949, -52.26329803466796 -31.973485946655288, -52.24259185791017 -32.032558441162095, -52.24949264526364 -32.05596923828126, -52.243225097656236 -32.069522857665994, -52.23331451416014 -32.067962646484354, -52.21516036987305 -32.046333312988274, -52.18758773803711 -32.05170059204102, -52.1714515686035 -32.03171920776368, -52.147583007812514 -32.021911621093764, -52.12390899658203 -32.02385711669921, -52.11814117431642 -32.03400421142576, -52.160446166992166 -32.10888671874999, -52.20534515380861 -32.124519348144524, -52.25844955444335 -32.15535354614256, -52.30306625366211 -32.20911026000976, -52.33442306518557 -32.25572586059568, -52.38959121704101 -32.3257598876953, -52.42359161376954 -32.379318237304695, -52.45211791992186 -32.43971252441405, -52.48101425170899 -32.481647491455064, -52.49648666381835 -32.52108001708983, -52.54520797729493 -32.66709518432616, -52.55255126953124 -32.711029052734375, -52.56584167480469 -32.7660789489746, -52.621490478515604 -32.760227203369126, -52.62959671020509 -32.766830444335916, -52.63201904296873 -32.78696060180662, -52.614517211914055 -32.807388305664055, -52.64262008666989 -32.817058563232415, -52.65486526489259 -32.83031845092774, -52.647647857665994 -32.86572265625001, -52.71255493164061 -32.91515731811524, -52.71950912475588 -32.95875167846679, -52.75000762939454 -32.983486175537124, -52.77276992797852 -33.0184211730957, -52.80526351928711 -33.041435241699226, -52.85314941406247 -33.123012542724595, -52.86938476562497 -33.132827758789055, -52.89778518676756 -33.149162292480455, -52.92897415161131 -33.19737625122072, -52.96962356567384 -33.22188949584959, -53.06880569458009 -33.33947372436523, -53.165195465087876 -33.492332458496065, -53.163505554199226 -33.504131317138665, -53.21459579467772 -33.54410552978514, -53.2606964111328 -33.57446289062501, -53.2877502441406 -33.60004806518554, -53.30125427246096 -33.6162986755371, -53.30927658081052 -33.63481521606447, -53.30352783203126 -33.669147491455064, -53.31307220458986 -33.67436981201174, -53.37904357910158 -33.726825714111314, -53.42476272583007 -33.75435256958005, -53.49506378173828 -33.70318603515623, -53.54124069213864 -33.63496017456054, -53.52941131591797 -33.52824783325197, -53.514209747314446 -33.54075241088867, -53.50215911865234 -33.54101181030274, -53.458126068115234 -33.481433868408196, -53.45082473754883 -33.43956375122069, -53.456127166748026 -33.35035324096679, -53.49503707885742 -33.2469711303711, -53.49025344848633 -33.22185897827149, -53.467262268066406 -33.19041061401365, -53.46448898315429 -33.16525268554688, -53.454181671142585 -33.15538406372069, -53.43223571777345 -33.15753173828124, -53.41722869873046 -33.124221801757784, -53.37210845947268 -33.086494445800774, -53.34300231933595 -33.04842758178712, -53.33296585083006 -33.04695129394531, -53.29797744750977 -33.08127975463867, -53.26586532592773 -33.076873779296854, -53.24531936645509 -33.0571060180664, -53.22505950927733 -33.0474166870117, -53.21655654907227 -33.029090881347656, -53.17732238769531 -32.836524963378906, -53.134483337402344 -32.800357818603494, -53.08880233764647 -32.806251525878906, -53.027275085449205 -32.73845291137696, -53.00296020507812 -32.72208023071289, -52.993137359619155 -32.727294921874986, -53.001781463623026 -32.754039764404304, -52.998607635498026 -32.786033630371065, -52.92863845825194 -32.857852935790994, -52.85979080200193 -32.897674560546854, -52.79754638671876 -32.88020324707029, -52.65285110473632 -32.643791198730455, -52.59645843505858 -32.51521301269531, -52.59979629516601 -32.48490905761718, -52.623119354248026 -32.46103286743163, -52.651477813720724 -32.39505767822265, -52.69377517700195 -32.3338966369629, -52.69446563720704 -32.275058746337876, -52.663486480712905 -32.20083618164063, -52.648834228515625 -32.17995071411133, -52.652427673339815 -32.163085937499986, -52.53793334960937 -32.07906341552733, -52.44423675537108 -32.03836059570313, -52.42807769775391 -32.020095825195284, -52.421642303466804 -31.99328994750974, -52.38211822509765 -31.886253356933576, -52.3812370300293 -31.83920478820798, -52.36478424072264 -31.80244636535643, -52.32856369018555 -31.761573791503903, -52.28597640991213 -31.75157546997068, -52.230102539062514 -31.763816833496087)))"
brasil_solos_5m_20201104.6,6,VEo4,Vertissolos Ebanicos Orticos,Chernossolos Ebanicos Orticos,Neossolos Litolicos Eutroficos,VEo4 - Vertissolos Ebanicos Orticos + Chernossolos Ebanicos Orticos + Neossolos Litolicos Eutroficos,1977.13293668,VERTISSOLOS,EBANICOS,Orticos,CHERNOSSOLOS,EBANICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,VEo - Vertissolos Ebanicos Orticos,VEo,"MULTIPOLYGON (((-53.75215911865232 -31.539880752563473, -53.711994171142564 -31.56972122192383, -53.69060134887693 -31.576555252075163, -53.682559967041 -31.583444595336925, -53.67449569702148 -31.594947814941403, -53.66365432739258 -31.627206802368153, -53.66618347167969 -31.65721893310545, -53.67410278320313 -31.67802429199216, -53.67669677734375 -31.694189071655256, -53.69256973266602 -31.731182098388654, -53.724422454834006 -31.78900718688964, -53.74564743041989 -31.835245132446286, -53.748214721679695 -31.862945556640625, -53.74275588989259 -31.88830947875978, -53.73733139038083 -31.904441833496104, -53.73193359375002 -31.91365242004395, -53.73442459106444 -31.95981407165528, -53.747673034667976 -31.999095916748047, -53.76370620727538 -32.01530838012693, -53.787834167480455 -32.06076049804686, -53.83771514892578 -32.04524230957032, -53.920986175537124 -31.94057655334471, -54.00804901123046 -31.944295883178714, -54.09306335449221 -31.94710350036622, -54.12425231933596 -31.93617820739746, -54.12196350097657 -31.927831649780284, -54.162239074707045 -31.89647293090821, -54.16068267822266 -31.870786666870085, -54.13656234741212 -31.820001602172848, -54.12585067749021 -31.792301177978523, -54.12584686279297 -31.757684707641598, -54.12316894531252 -31.72999000549317, -54.11247634887695 -31.69536590576172, -54.08575820922853 -31.633028030395497, -54.08576202392577 -31.623796463012702, -54.06174468994141 -31.582225799560547, -54.024402618408196 -31.54062843322754, -54.011070251464865 -31.529066085815405, -53.98706817626954 -31.51517486572266, -53.960403442382805 -31.505887985229485, -53.94706726074218 -31.503549575805653, -53.93374252319335 -31.49428749084473, -53.92308044433595 -31.489645004272447, -53.90711212158202 -31.47345161437987, -53.883155822753885 -31.454923629760728, -53.872497558593736 -31.450279235839847, -53.86183929443357 -31.447938919067372, -53.85382080078126 -31.454839706420866, -53.84313964843751 -31.4594211578369, -53.83510589599609 -31.470935821533207, -53.82708358764646 -31.477834701538075, -53.81903076171876 -31.493961334228505, -53.81098937988283 -31.50547409057615, -53.79491806030273 -31.523881912231435, -53.78423690795896 -31.526151657104474, -53.773544311523445 -31.530729293823228, -53.76019287109372 -31.532987594604457, -53.75215911865232 -31.539880752563473)))"
brasil_solos_5m_20201104.7,7,MEo3,Chernossolos Ebanicos Orticos,Vertissolos Ebanicos Orticos,Neossolos Litolicos Eutroficos,MEo3 - Chernossolos Ebanicos Orticos + Vertissolos Ebanicos Orticos + Neossolos Litolicos Eutroficos,1387.0035365,CHERNOSSOLOS,EBANICOS,Orticos,VERTISSOLOS,EBANICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,MEo - Chernossolos Ebanicos Orticos,MEo,"MULTIPOLYGON (((-53.72054672241209 -31.440521240234382, -53.73355865478515 -31.519039154052745, -53.74148178100587 -31.539838790893533, -53.75215911865232 -31.539880752563473, -53.76019287109372 -31.532987594604457, -53.773544311523445 -31.530729293823228, -53.78423690795896 -31.526151657104474, -53.79491806030273 -31.523881912231435, -53.81098937988283 -31.50547409057615, -53.81903076171876 -31.493961334228505, -53.82708358764646 -31.477834701538075, -53.83510589599609 -31.470935821533207, -53.84313964843751 -31.4594211578369, -53.85382080078126 -31.454839706420866, -53.86183929443357 -31.447938919067372, -53.872497558593736 -31.450279235839847, -53.883155822753885 -31.454923629760728, -53.90711212158202 -31.47345161437987, -53.92308044433595 -31.489645004272447, -53.93374252319335 -31.49428749084473, -53.94706726074218 -31.503549575805653, -53.960403442382805 -31.505887985229485, -53.98706817626954 -31.51517486572266, -54.011070251464865 -31.529066085815405, -54.024402618408196 -31.54062843322754, -54.06174468994141 -31.582225799560547, -54.08576202392577 -31.623796463012702, -54.08575820922853 -31.633028030395497, -54.11247634887695 -31.69536590576172, -54.12316894531252 -31.72999000549317, -54.12584686279297 -31.757684707641598, -54.12585067749021 -31.792301177978523, -54.13656234741212 -31.820001602172848, -54.16068267822266 -31.870786666870085, -54.162239074707045 -31.89647293090821, -54.22458267211913 -31.824131011962884, -54.27127456665036 -31.80769157409667, -54.30087661743165 -31.758087158203093, -54.31472015380861 -31.759376525878906, -54.387096405029304 -31.696752548217763, -54.35300827026368 -31.66306877136231, -54.3261947631836 -31.623857498168928, -54.31280136108397 -31.6077136993408, -54.29943466186523 -31.600795745849588, -54.27537918090819 -31.59157371520995, -54.26469802856446 -31.591577529907223, -54.24599838256838 -31.58696365356446, -54.219280242919936 -31.57311630249024, -54.197902679443374 -31.552341461181634, -54.17920684814454 -31.53848648071289, -54.16852188110352 -31.526943206787106, -54.14717102050782 -31.510774612426736, -54.13115692138672 -31.501531600952134, -54.06182098388672 -31.450681686401374, -54.04050827026365 -31.429880142211925, -53.99257278442383 -31.388254165649418, -53.98459243774412 -31.37900733947753, -53.97927856445313 -31.36976623535156, -53.963348388671854 -31.335115432739247, -53.955440521240256 -31.286632537841793, -53.947513580322266 -31.25430488586424, -53.91564178466798 -31.226533889770494, -53.89967727661135 -31.228799819946286, -53.86238861083986 -31.24485015869141, -53.809062957763686 -31.279298782348622, -53.75565338134763 -31.325265884399407, -53.74761962890626 -31.336774826049783, -53.73152542114259 -31.36440658569337, -53.720741271972656 -31.394365310668938, -53.72054672241209 -31.440521240234382)))"
brasil_solos_5m_20201104.8,8,AGUA,AGUA,,,AGUA,68.05450346,,,,,,,,,,AGUA,AGUA,"MULTIPOLYGON (((-50.95057678222656 -31.196987152099588, -50.95159530639649 -31.208654403686523, -50.99687957763673 -31.265636444091783, -51.11698913574217 -31.372737884521495, -51.12181854248046 -31.369400024414034, -51.12676239013671 -31.36598205566404, -51.11681747436523 -31.340826034545888, -51.0459098815918 -31.275566101074222, -50.97502517700197 -31.19179916381833, -50.96128082275391 -31.181758880615224, -50.949546813964844 -31.185148239135717, -50.95057678222656 -31.196987152099588)))"
brasil_solos_5m_20201104.9,9,AGUA,AGUA,,,AGUA,30.95800425,,,,,,,,,,AGUA,AGUA,"MULTIPOLYGON (((-51.000167846679666 -31.121189117431637, -51.013877868652365 -31.124507904052745, -51.01973342895507 -31.121129989624027, -51.01758956909182 -31.080827713012685, -51.01936721801758 -31.042192459106452, -51.0017509460449 -31.037208557128903, -50.980312347412124 -31.052387237548842, -50.97460174560548 -31.08935165405274, -51.000167846679666 -31.121189117431637)))"
